Num	Sample	Cell_Subtype	Cell_Type
148	PT089_P7_D06_S42	epithelial	Epithelial
149	PT089_P7_D07_S43	epithelial	Epithelial
150	PT089_P7_D08_S44	epithelial	Epithelial
151	PT089_P7_D09_S45	stroma	Stroma
152	PT089_P7_D10_S46	epithelial	Epithelial
153	PT089_P7_D11_S47	epithelial	Epithelial
154	PT089_P7_D12_S48	stroma	Stroma
155	PT089_P7_E01_S49	epithelial	Epithelial
156	PT089_P7_E02_S50	epithelial	Epithelial
157	PT089_P7_E03_S51	epithelial	Epithelial
158	PT089_P7_E04_S52	epithelial	Epithelial
159	PT089_P7_E05_S53	epithelial	Epithelial
160	PT089_P7_E06_S54	epithelial	Epithelial
161	PT089_P7_E07_S55	epithelial	Epithelial
162	PT089_P7_E08_S56	epithelial	Epithelial
163	PT089_P7_E09_S57	stroma	Stroma
164	PT089_P7_E10_S58	epithelial	Epithelial
165	PT089_P7_E11_S59	epithelial	Epithelial
166	PT089_P7_E12_S60	stroma	Stroma
167	PT089_P7_F02_S62	epithelial	Epithelial
168	PT089_P7_F03_S63	epithelial	Epithelial
169	PT089_P7_F04_S64	epithelial	Epithelial
170	PT089_P7_F05_S65	epithelial	Epithelial
171	PT089_P7_F06_S66	epithelial	Epithelial
172	PT089_P7_F07_S67	stroma	Stroma
173	PT089_P7_F08_S68	epithelial	Epithelial
174	PT089_P7_F09_S69	epithelial	Epithelial
175	PT089_P7_F10_S70	epithelial	Epithelial
176	PT089_P7_F11_S71	epithelial	Epithelial
177	PT089_P7_F12_S72	epithelial	Epithelial
178	PT089_P7_G01_S73	epithelial	Epithelial
179	PT089_P7_G02_S74	epithelial	Epithelial
180	PT089_P7_G03_S75	epithelial	Epithelial
181	PT089_P7_G04_S76	stroma	Stroma
182	PT089_P7_G05_S77	epithelial	Epithelial
183	PT089_P7_G06_S78	stroma	Stroma
184	PT089_P7_G07_S79	stroma	Stroma
185	PT089_P7_G08_S80	stroma	Stroma
186	PT089_P7_G09_S81	epithelial	Epithelial
187	PT089_P7_G10_S82	epithelial	Epithelial
188	PT089_P7_G11_S83	epithelial	Epithelial
189	PT089_P7_G12_S84	stroma	Stroma
190	PT089_P9_A01_S97	epithelial	Epithelial
191	PT089_P9_A02_S98	epithelial	Epithelial
192	PT089_P9_A03_S99	epithelial	Epithelial
193	PT089_P9_A04_S100	epithelial	Epithelial
194	PT089_P9_A05_S101	epithelial	Epithelial
195	PT089_P9_A06_S102	epithelial	Epithelial
196	PT089_P9_A07_S103	stroma	Stroma
197	PT089_P9_A08_S104	epithelial	Epithelial
198	PT089_P9_A09_S105	epithelial	Epithelial
199	PT089_P9_A10_S106	epithelial	Epithelial
200	PT089_P9_A11_S107	epithelial	Epithelial
201	PT089_P9_A12_S108	stroma	Stroma
202	PT089_P9_B01_S109	epithelial	Epithelial
203	PT089_P9_B02_S110	stroma	Stroma
204	PT089_P9_B03_S111	epithelial	Epithelial
205	PT089_P9_B04_S112	epithelial	Epithelial
206	PT089_P9_B05_S113	epithelial	Epithelial
