Num	Sample	Cell_Subtype	Cell_Type
590	PT081_P3_D01_S229	epithelial	Epithelial
591	PT081_P3_D02_S230	epithelial	Epithelial
592	PT081_P3_D03_S231	epithelial	Epithelial
593	PT081_P3_D04_S232	epithelial	Epithelial
594	PT081_P3_D05_S233	epithelial	Epithelial
595	PT081_P3_D06_S234	epithelial	Epithelial
596	PT081_P3_D10_S238	epithelial	Epithelial
597	PT081_P3_D11_S239	epithelial	Epithelial
598	PT081_P3_E01_S241	epithelial	Epithelial
599	PT081_P3_E02_S242	epithelial	Epithelial
600	PT081_P3_E03_S243	epithelial	Epithelial
601	PT081_P3_E04_S244	epithelial	Epithelial
602	PT081_P3_E06_S246	epithelial	Epithelial
603	PT081_P3_E07_S247	epithelial	Epithelial
604	PT081_P3_E08_S248	epithelial	Epithelial
605	PT081_P3_E11_S251	epithelial	Epithelial
606	PT081_P3_E12_S252	epithelial	Epithelial
607	PT081_P3_F01_S253	epithelial	Epithelial
608	PT081_P3_F03_S255	epithelial	Epithelial
609	PT081_P3_F04_S256	epithelial	Epithelial
610	PT081_P3_F06_S258	epithelial	Epithelial
