"name" "Androgen" "EGFR" "Estrogen" "Hypoxia" "JAK.STAT" "MAPK" "NFkB" "p53" "PI3K" "TGFb" "TNFa" "Trail" "VEGF" "WNT" "Epithelial.Basal" "Epithelial.Her2" "Epithelial.Luminal" "All"
"1" "TCGA-A1-A0SD-01" 0.345332473267804 0.255713894706494 -0.347453705819282 -0.634201515006828 0.484890456467546 0.487920859474186 0.0974530745024419 -0.179946477119107 0.0738998841003038 -0.000851440812915276 1.03563909013627 -0.189170858440847 0.366246396830508 -0.115292893474753 0.0497208144262479 0.346329510467888 0.603949675105864 0.519472774103745
"2" "TCGA-A1-A0SE-01" 0.145276522701747 -0.47419243795939 0.707223546102926 -0.565648262274867 -0.774892882365866 -0.402883886858323 -0.727644552361341 -0.556160431165086 -0.0125861315669587 0.548094750739665 -0.263475104082037 -0.153791592419955 -0.164006158081589 -0.0198823312729045 0.210013926767421 0.225103541860218 0.564882531372361 0.581229373677412
"3" "TCGA-A1-A0SF-01" 0.151704146164213 0.375866226669058 0.409144685533677 -0.712920618322798 -0.729955447549233 -0.612555434941322 -0.368674429738238 -0.802081243087749 -0.34606693642294 -0.340024037084982 -0.609898038943817 0.602904619745004 0.441110480462059 0.00453944829398712 0.0634291408713347 0.331741696828045 0.60482916230062 0.487446275699526
"4" "TCGA-A1-A0SG-01" 0.300862192859931 -0.279500624608717 1.79585915801888 0.687451652094748 -0.44386825083942 -0.763724299563576 -1.01194442394002 1.45902943415147 -1.31905282130276 0.242221133590888 -0.941211395175465 -0.367603634759448 1.64642954514872 0.0342747127546482 -2.84085823259289e-18 0.365405793349796 0.634594206650204 0.57564275593743
"5" "TCGA-A1-A0SH-01" 0.446212085182942 -0.351621938292592 0.243137633558246 -0.515544056141061 -0.749836810113241 -0.590461393323168 -0.610556099517622 0.137780595258064 -2.93498329375245 7.55949210930689 -0.0903908707081632 -0.314112005067383 -1.12788965138099 0.277644711414263 3.074004608732e-17 0.65415630568316 0.34584369431684 0.302283234573738
"6" "TCGA-A1-A0SI-01" -0.162559445650126 -0.0918826720926825 -0.793869705974013 -0.364365113654486 0.313914221198748 -0.647681196768611 0.159427327215748 1.33966646814586 -0.493377883249711 3.4768731716062 0.153285385576527 0.248261599614332 -0.873164383563319 0.0473986076242456 0.230397969958396 0.439185954575571 0.330416075466034 0.402014872915126
"7" "TCGA-A1-A0SJ-01" 0.210155460339906 -0.317102441472648 1.11095376255172 0.0295724975303506 -0.666058821694587 0.281178624991806 0.291681466344502 1.51254962534789 -0.455652604677149 -0.272956251778273 1.01110314970689 0.0957184389487396 0.196310347798936 0.0233127236450769 0.00289998108919899 0.743952388250706 0.253147630660094 0.58303292225573
"8" "TCGA-A1-A0SK-01" -0.752470942963392 0.511951146128631 -0.810649821244129 2.53183464314936 -1.02110525902819 0.0646778511412415 -0.962356011459459 -0.129232831683625 1.4360110112276 -0.957293984002574 -1.13642356237204 -0.463438811940511 -7.01362551440745 0.274881044687645 0.673355836403669 0.146848451183124 0.179795712413207 0.915710570210331
"9" "TCGA-A1-A0SM-01" 0.531009453647221 1.62267699933973 0.74189079702902 -0.142123815711037 -0.653711283818587 2.28196155061902 -0.429313183117854 0.894201322262508 -1.88177797578717 1.43761263412911 -0.196726967155177 -0.436946589528122 0.924824636284319 -0.0715292487899253 0.0296535213501224 0.618519704324791 0.351826774325086 0.520519781381294
"10" "TCGA-A1-A0SN-01" -0.383273608412575 0.478870636407102 -0.202194532040795 -0.501576376134003 -0.55858987199956 0.321815445509719 -0.635219233084819 0.284594432007261 -0.942517830531414 0.791735857661506 1.40406195588861 -0.440722609678423 -1.29263355409125 -0.0757700729394623 0.149921094044575 0.623309439117522 0.226769466837902 0.63359973857129
"11" "TCGA-A1-A0SO-01" -0.80772082094135 1.23129572120523 -1.38955806465493 -0.759465169117071 -0.812765559763128 -0.018585374648099 -1.44110074776363 -1.28530247120158 0.997513989438422 -0.885687546940644 -1.46997321063176 -0.412885514343723 -1.12707710454718 -0.292378919792689 0.621067971693637 0.198007970045743 0.18092405826062 0.806680418707587
"12" "TCGA-A1-A0SP-01" -1.08038091725988 0.762924181915142 -0.762010325334665 1.6216016893344 -0.721623133382905 0.895037108855197 0.731954242791365 -1.38185188441023 1.02429526894306 -0.531068616764627 -0.0785765326451098 0.0153856772190745 -1.24297308831576 0.0544545437373919 0.846452436084533 0.153547563915467 0 0.592390148931206
"13" "TCGA-A1-A0SQ-01" 1.80537357416641 0.0204405330233847 2.13636166445481 -0.544619038498584 -0.778978071322479 2.86177300920917 -0.741927486563848 0.41168389330742 -0.710519790848835 -0.912509437417425 -0.219605238068443 -0.179226526971571 0.5871544548049 0.42349076730926 0.00519198162301665 0.339198458494116 0.655609559882868 0.663603828111494
"14" "TCGA-A2-A04N-01" -0.255122183054514 -0.692900340737448 1.16162221915871 -0.108858352435453 -0.785796739543169 -0.599014195825878 -0.801817677137865 0.126836992533572 -0.631300522327892 1.08702506733422 -0.551751197464916 -0.345657051760757 0.705779507219969 -0.0414089549025726 0.051479736463587 0.275407725779977 0.673112537756436 0.56430821048867
"15" "TCGA-A2-A04P-01" -0.532195429709524 0.609951950046002 -1.17242169679624 1.29119881349058 0.0303968164524452 -0.361587169451845 0.971029168029064 -1.42063900166786 -0.2963046034447 -0.00554042270820027 1.82691399692586 0.0617819404751572 -0.696798501333691 0.0481778311687071 0.886295721799169 0 0.113704278200831 0.381294971661981
